date,index_all_shortage,energy_shortage,food_shortage,industry_shortage,labor_shortage,index_can,index_deu,index_fra,index_gbr,index_jpn,index_usa
1916m2,94.508438,8.5007591,19.001698,55.004913,12.001072,155.93741,229.45233,159.32997,200.37109,81.849731,91.014023
1916m3,106.52132,7.9773679,22.055075,64.2882,12.20068,160.96999,248.0918,195.92282,198.6777,69.129219,102.89587
1916m4,81.412689,7.5732737,22.246492,34.553062,17.039865,132.84575,160.5345,98.811615,135.98708,30.990753,77.332901
1916m5,75.260178,3.961062,26.242037,28.222567,16.834515,69.482544,222.25934,152.32472,168.45526,48.627438,70.251022
1916m6,72.910553,5.5695558,28.354101,23.797192,15.189698,102.632,222.2319,111.26245,176.09058,82.877449,81.997787
1916m7,82.068542,6.5453439,36.754623,23.160446,15.608128,141.31007,261.16702,210.21487,190.33099,82.413353,79.373878
1916m8,134.62173,13.009664,41.857174,52.60429,27.1506,238.12965,242.62329,267.23749,226.65457,120.36217,121.59768
1916m9,122.32552,9.145833,35.440105,50.302086,27.4375,196.08191,165.35875,169.57343,198.79779,149.70343,108.95591
1916m10,130.48335,16.376453,38.035629,54.412086,21.65918,230.63632,194.97803,150.91145,187.7182,95.117256,105.23706
1916m11,235.27249,47.27438,28.584507,122.03386,37.379742,137.13835,263.2052,301.98691,270.14139,89.977905,189.86295
1916m12,173.03108,27.18313,30.842398,88.345177,26.660378,154.86784,292.01825,195.2836,217.37482,77.010002,162.57422
1917m1,126.68969,21.733377,27.564283,61.489555,15.902471,123.97843,259.09872,227.14267,196.37665,26.029936,113.19453
1917m2,222.97795,44.255169,65.815376,88.510338,24.397079,185.78053,605.59045,374.03424,381.77701,102.15757,199.21924
1917m3,167.81212,12.507735,71.398323,58.890591,25.015471,138.14267,452.28537,206.13925,256.11276,93.835808,163.5714
1917m4,202.1595,15.071016,107.57587,41.575218,37.937389,259.30209,601.3515,393.98923,381.12433,93.57196,180.98668
1917m5,212.14671,24.415863,86.269379,60.225796,41.23568,270.72046,573.7085,423.26138,422.51993,115.45464,206.84119
1917m6,166.8364,28.941008,52.207306,49.937424,35.750656,176.964,367.94479,268.10361,205.93733,65.020447,153.70963
1917m7,174.1971,24.660433,47.222103,66.110939,36.203613,155.44183,382.07751,265.18646,234.04816,128.8257,160.1689
1917m8,178.68596,41.635563,49.731365,56.670624,30.648399,162.29904,409.55865,196.96288,148.64874,104.11974,171.5529
1917m9,167.89891,31.447733,49.037144,53.834255,33.579781,83.109154,313.7005,245.96729,185.3726,104.69527,154.30659
1917m10,224.57784,67.427727,47.308163,64.708862,45.133076,296.75388,439.36728,388.34787,242.56004,71.205788,217.42868
1917m11,232.06384,64.736488,47.729443,75.708771,43.889141,222.40881,372.13617,355.63937,228.12883,26.939955,236.66248
1917m12,366.39529,146.97212,60.030869,96.256393,63.135914,209.7981,531.716,608.40271,363.87314,152.47464,341.16959
1918m1,577.80109,260.68967,114.4109,121.20241,81.498169,325.83276,891.13849,832.30402,663.56421,145.37196,534.58563
1918m2,389.5751,138.96783,102.33614,82.566666,65.70446,380.78271,585.81921,741.08008,422.02487,104.69298,361.66122
1918m3,259.82269,53.806564,75.620033,79.497986,50.898106,241.86545,556.07831,511.29819,340.83615,150.75592,235.50916
1918m4,231.96786,49.332531,47.758087,86.069527,48.807716,163.6617,424.04938,426.70526,269.81424,85.904129,205.33548
1918m5,189.13239,36.050098,43.887074,59.038567,50.156658,187.36856,338.76346,373.1311,244.90602,76.967667,174.46532
