DAY,N10D,GPRD,GPRD_ACT,GPRD_THREAT
19860802,334,113.66718,104.54124,149.07109
19860803,549,88.012535,116.60124,80.614853
19860804,406,136.01373,100.33556,136.26094
19860805,400,77.65535,87.291931,55.321941
19860806,480,136.61589,84.867157,172.88107
19860807,506,81.850166,57.504566,98.398705
19860808,490,63.392117,23.752907,90.321533
19860809,329,167.84674,106.13001,201.78217
19860810,571,108.79908,101.91703,106.57467
19860811,402,137.36711,173.71529,123.85509
19860812,438,173.35541,159.43732,164.19754
19860813,469,198.69171,198.53177,129.75296
19860814,501,130.88947,69.69416,165.63455
19860815,509,88.148399,45.732513,119.55626
19860816,335,51.512665,34.743057,66.056053
19860817,568,60.763184,71.718727,48.698895
19860818,445,131.84927,91.542099,136.75087
19860819,429,104.58633,94.956253,90.268898
19860820,482,71.604744,60.367867,68.865486
19860821,532,51.899982,43.755356,41.595448
19860822,475,65.393974,61.2575,69.880348
19860823,318,108.53298,109.80118,104.38103
19860824,584,59.098434,89.683495,47.364677
19860825,458,113.03543,101.65,108.71124
19860826,407,152.6395,157.28276,135.92615
19860827,490,84.522827,83.135178,135.4823
19860828,499,96.831429,116.62249,88.69249
19860829,483,78.602142,108.43719,80.176727
19860830,312,121.68217,130.56487,124.11974
19860831,568,66.8395,51.227661,97.397789
19860901,317,87.100281,146.8634,69.80687
19860902,367,103.44642,47.570538,120.59279
19860903,461,67.379913,63.117813,84.002953
19860904,543,63.560745,53.586205,61.129219
19860905,513,74.005524,56.719906,97.056038
19860906,328,252.5377,390.3298,84.33223
19860907,617,117.46892,179.20549,134.49419
19860908,462,126.99767,138.55862,131.71892
19860909,462,179.29083,226.73228,143.69336
19860910,498,90.095451,105.171,33.326469
19860911,552,131.3013,115.96755,150.33136
19860912,525,72.313972,88.677521,42.150051
19860913,344,120.39589,33.834084,144.73764
19860914,670,87.571533,69.486115,90.827072
19860915,457,60.417484,76.40432,24.210917
19860916,479,115.28513,182.23787,69.296791
19860917,541,108.45273,107.56862,102.25867
19860918,580,89.259018,70.234886,76.306129
19860919,547,113.57272,106.38871,121.36441
19860920,338,132.74419,120.52141,114.57207
19860921,694,114.38187,117.39549,103.629
19860922,440,156.87949,145.48656,188.59753
19860923,477,173.65276,97.601044,220.35994
19860924,526,177.16048,143.82701,199.83211
19860925,588,82.174973,79.176353,75.267944
19860926,532,181.64993,218.77676,155.98293
19860927,341,141.6976,85.329361,178.45787
19860928,643,69.778435,72.403885,86.037239
19860929,468,88.496124,74.60849,118.20928
19860930,467,125.63795,74.76825,118.4624
19861001,503,130.36903,69.417046,186.97276
19861002,554,105.90781,84.035553,119.83092
19861003,533,110.08054,87.346527,93.414154
19861004,359,144.20677,81.05101,154.10013
19861005,681,121.63343,68.363724,138.10176
19861006,457,113.28278,63.670265,145.26549
19861007,457,151.0437,89.138367,205.79279
19861008,501,48.222439,69.69416,66.253822
19861009,619,66.908218,65.809753,80.435776
19861010,510,101.51025,68.464264,141.01672
