date,usa,canada,uk,western_europe,eastern_europe,japan,china,asia,australia,latin_america,middle_east,russia,africa
1960-06-02,47.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-06-03,60.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-06-05,0.0,0.0,0.0,185.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-06-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-06-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-06-08,63.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-06-10,66.27,0.0,1398.86,423.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-06-12,41.37,0.0,0.0,158.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1415.61
1960-06-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-06-14,63.29,0.0,0.0,0.0,0.0,0.0,0.0,1138.48,0.0,830.91,0.0,0.0,0.0
1960-06-15,63.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-06-16,204.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-06-17,57.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
