Date,GPR_AI,military_conflict,diplomatic_tension,terrorism,civil_war,nuclear_threat,coup,sanctions,other
1976-04-01,86.44,12.9901,36.2439,9.9751,15.2994,3.0471,1.8924,0.8981,6.0941
1976-05-01,80.14,11.8726,36.1831,9.2154,12.5228,3.3074,1.3286,0.5371,5.1731
1976-06-01,95.55,23.8333,29.164,13.9466,19.1534,3.0683,0.7438,0.5269,5.1138
1976-07-01,98.02,20.8752,30.8773,17.3584,16.5195,2.6134,3.5491,0.5485,5.6786
1976-08-01,101.7,19.3089,35.2354,11.3949,21.6732,5.1556,2.0688,0.7553,6.1079
1976-09-01,97.67,10.4854,45.0772,18.2499,11.879,3.7163,1.095,1.3604,5.8068
1976-10-01,84.12,13.8591,36.2205,6.8517,10.4021,5.4813,4.4847,1.3703,5.4502
1976-11-01,82.21,15.8983,39.3916,7.0513,8.6988,3.8881,2.2076,0.2636,4.8107
1976-12-01,73.97,9.5072,34.1425,8.8648,10.1496,3.6616,1.3811,0.1606,6.1026
1977-01-01,71.52,7.1426,37.1541,7.9884,6.6727,5.3883,0.9711,0.2506,5.9522
1977-02-01,85.0,8.4586,48.093,8.8383,4.1775,5.6966,2.5894,1.0357,6.1109
1977-03-01,90.71,12.2861,42.1832,14.1382,8.7052,2.7165,3.7352,1.4817,5.4639
1977-04-01,91.78,20.0837,44.3463,7.2039,7.3287,5.2392,1.1851,0.5925,5.8006
1977-05-01,84.77,9.4004,47.2595,10.0372,6.3377,5.7615,0.5762,0.6974,4.7002
1977-06-01,84.78,10.8449,44.9081,11.8103,4.7627,4.6662,2.1561,1.062,4.5697
1977-07-01,98.31,18.1221,46.6344,11.5735,5.1222,7.7481,2.2369,0.4863,6.3865
1977-08-01,91.11,15.3209,45.2112,11.3868,6.3011,6.493,0.6397,0.6077,5.1496
1977-09-01,84.07,14.213,42.7981,12.496,3.0843,5.2782,1.0493,0.3816,4.7695
1977-10-01,85.38,7.8072,40.4447,18.9603,2.7002,5.107,1.6436,3.6101,5.107
1977-11-01,89.81,11.8852,53.6552,9.5144,2.1836,4.7104,0.8111,3.1195,3.9306
1977-12-01,85.61,6.9379,55.5669,8.6883,3.6917,3.6599,0.6365,0.9229,5.5058
1978-01-01,85.83,14.5795,48.8104,7.4365,4.4358,4.7294,0.4566,0.4892,4.8925
1978-02-01,100.91,23.377,51.2641,9.4678,6.6447,4.9577,0.241,0.5164,4.4413
1978-03-01,105.61,33.23,41.4408,16.2729,5.0871,3.7484,0.6247,0.119,5.0871
1978-04-01,94.91,16.7222,48.1347,12.717,4.4437,6.11,2.3388,0.1754,4.2682
1978-05-01,113.33,31.1945,48.9421,14.1435,6.6932,3.0892,3.7252,0.8783,4.664
1978-06-01,100.97,23.3338,48.7833,10.3944,4.9366,4.17,1.6864,0.9812,6.6843
1978-07-01,91.81,13.988,49.254,8.5361,5.9504,2.8661,3.7073,2.6481,4.86
1978-08-01,76.75,10.9909,34.4654,12.6871,7.9549,2.2389,0.9838,1.5604,5.8686
1978-09-01,94.53,13.1238,46.5601,6.8578,17.6841,2.0887,1.0095,1.5665,5.6394
1978-10-01,85.56,17.9508,41.9076,5.6704,10.4685,3.3217,0.4697,0.8053,4.9658
1978-11-01,100.64,15.139,44.2128,6.847,15.1734,5.4707,2.3741,1.7547,9.6683
1978-12-01,111.05,11.033,55.3286,10.6401,17.1879,5.5656,1.1459,0.9822,9.1669
1979-01-01,115.52,22.9545,50.927,9.68,15.0539,2.5268,6.6194,0.7118,7.0465
1979-02-01,140.66,40.7452,55.1215,8.4366,16.9866,2.7239,4.3507,0.7566,11.5388
1979-03-01,119.26,32.0521,51.2183,8.2652,10.12,4.6858,1.6921,1.7897,9.4367
1979-04-01,106.04,27.3738,37.8392,9.3805,11.8175,7.0104,2.1699,2.8709,7.5779
1979-05-01,94.35,12.2053,44.3648,10.3762,8.6136,6.984,0.7317,2.4278,8.6468
1979-06-01,108.92,11.5238,43.8365,7.759,17.4167,6.7113,3.3393,4.125,14.2084
1979-07-01,96.51,11.6679,39.6503,8.7079,14.4903,6.2298,3.373,0.9981,11.3926
1979-08-01,101.3,17.276,45.8424,10.2609,10.8542,4.572,2.5478,0.349,9.5978
1979-09-01,103.39,14.348,54.6003,10.8746,6.2002,6.1028,4.8692,0.6817,5.7132
1979-10-01,100.89,12.4999,52.9304,5.7966,7.0919,8.1606,6.1528,0.3238,7.9339
1979-11-01,147.54,13.6537,90.5389,11.1351,6.4955,4.3082,6.2635,7.9868,7.1583
1979-12-01,147.01,18.5141,79.2527,11.7992,10.4562,3.997,7.1307,7.8981,7.962
1980-01-01,188.77,64.5017,76.9509,6.6809,6.922,3.3749,2.755,20.9381,6.6465
1980-02-01,135.28,34.9375,66.4326,7.9466,8.2548,4.0418,2.6032,3.9048,7.1588
1980-03-01,112.48,17.2773,59.1626,10.0111,8.1381,5.2962,1.5824,3.9722,7.0401
1980-04-01,145.48,34.8459,61.9298,11.6597,7.4955,3.2647,4.5306,13.3254,8.4283
1980-05-01,121.04,21.692,53.3156,9.9001,10.6568,4.2564,5.6437,4.8239,10.7514
1980-06-01,116.04,26.5939,45.9894,10.3643,11.2641,7.7316,3.7325,2.3661,7.9982
